document_type,role,permlevel,if_owner,apply_user_permissions,select,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,set_user_permissions,mask,notes
Award Decision,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted fields.
Award Decision,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award PO Handoff,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award PO Handoff,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Only where PO execution is appropriate.
Award Publication Record,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award Publication Record,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hash/lock/forensic metadata.
Award Publication Record,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award Publication Record,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Final publication evidence.
Award Recommendation,Accounting Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award Recommendation,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted fields.
Award Recommendation,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive decision note.
Award Recommendation,Evaluation Committee Chair,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Separate from decision.
Award Recommendation,Evaluation Committee Chair,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.
Award Recommendation,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award Recommendation,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted fields.
Award Recommendation,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Separate from decision.
Award Recommendation,Procurement Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.
Bid Opening Record,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Bid Opening Record,Internal Auditor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read committee-confidential fields.
Bid Opening Record,Opening Committee Member,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Immutable opening readout.
Bid Opening Record,Opening Committee Member,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Committee-confidential assignments/readout/consensus.
Bid Opening Record,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Bid Opening Record,Tender Committee Secretary,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Immutable opening readout.
Bid Opening Record,Tender Committee Secretary,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Committee-confidential assignments/readout/consensus.
Bid Opening Register,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Bid Opening Register,Internal Auditor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read committee-confidential fields.
Bid Opening Register,Opening Committee Member,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Opening session register.
Bid Opening Register,Opening Committee Member,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Committee-confidential assignments/readout/consensus.
Bid Opening Register,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Bid Opening Register,Tender Committee Secretary,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Opening session register.
Bid Opening Register,Tender Committee Secretary,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Committee-confidential assignments/readout/consensus.
Bid Receipt Log,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Bid Receipt Log,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Bid Receipt Log,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Receipt ledger.
Bid Receipt Log,System Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Receipt ledger.
Budget Control Rule,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read sensitive control fields.
Budget Control Rule,Finance/Budget Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.; Operational reference use only.
Budget Control Rule,Head of Procurement,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Budget Control Rule,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Budget Control Rule,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read sensitive control fields.
Budget Control Rule,Planning Authority,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,Control mode master.
Budget Control Rule,Planning Authority,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive control values.
Budget Control Rule,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Operational reference use only.
Budget Override Record,Accounting Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Budget Override Record,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted finance fields.
Budget Override Record,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive approval note.
Budget Override Record,Finance/Budget Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,High-risk monetary override evidence.
Budget Override Record,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Monetary/bank/control fields.
Budget Override Record,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Budget Override Record,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted finance fields.
Budget Override Record,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forensic metadata.
Challenge Review Case,Accounting Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Can hold publication/handoff.
Challenge Review Case,Accounting Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.; Read restricted fields.
Challenge Review Case,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive decision note.
Challenge Review Case,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Challenge Review Case,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted fields.
Challenge Review Case,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Challenge Review Case,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Can hold publication/handoff.
Challenge Review Case,Procurement Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.
Claim Dispute Record,Accounting Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Legal/settlement sensitive.
Claim Dispute Record,Accounting Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.; Read restricted fields.
Claim Dispute Record,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive decision note.
Claim Dispute Record,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Legal/settlement sensitive.
Claim Dispute Record,Contract Manager,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.
Claim Dispute Record,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Claim Dispute Record,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted fields.
Claim Dispute Record,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Closeout Record,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Immutable closeout evidence.
Closeout Record,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Closeout Record,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hash/lock/forensic metadata.
Closeout Record,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Contract,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive settlement/authority notes.
Contract,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,Live commercial terms restricted.
Contract,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Operational obligations/narrative.
Contract,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forensic/lock metadata.
Contract,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Amendment,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial delta.
Contract Amendment,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive approval note.
Contract Amendment,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,No silent rewrite of contract.
Contract Amendment,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Narrative/support.
Contract Amendment,Finance/Budget Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read variation/amendment.
Contract Amendment,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial delta fields.
Contract Amendment,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read variation/amendment.
Contract Amendment,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial delta.
Contract Amendment,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,No silent rewrite of contract.
Contract Amendment,Procurement Officer,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Narrative/support.
Contract Execution Log,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Execution Log,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive settlement/authority notes.
Contract Execution Log,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Execution Log,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Operational progress notes.
Contract Execution Log,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Operational obligations/narrative.
Contract Execution Log,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Execution Log,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Execution Log,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Execution Log,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forensic/lock metadata.
Contract Execution Log,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Lot,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Lot,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive settlement/authority notes.
Contract Lot,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Lot,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Per-lot administration.
Contract Lot,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Operational obligations/narrative.
Contract Lot,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Lot,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Lot,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Lot,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forensic/lock metadata.
Contract Lot,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Milestone,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Milestone,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive settlement/authority notes.
Contract Milestone,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Milestone,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Operational timeline controls.
Contract Milestone,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Operational obligations/narrative.
Contract Milestone,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Milestone,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Milestone,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Milestone,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forensic/lock metadata.
Contract Milestone,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Progress Update,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Progress Update,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive settlement/authority notes.
Contract Progress Update,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Progress Update,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Project/service progress.
Contract Progress Update,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Operational obligations/narrative.
Contract Progress Update,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/commercial fields.
Contract Progress Update,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Progress Update,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial contract fields.
Contract Progress Update,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forensic/lock metadata.
Contract Progress Update,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read operational record.
Contract Variation,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial delta.
Contract Variation,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive approval note.
Contract Variation,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,No silent rewrite of contract.
Contract Variation,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Narrative/support.
Contract Variation,Finance/Budget Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read variation/amendment.
Contract Variation,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial delta fields.
Contract Variation,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read variation/amendment.
Contract Variation,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read financial delta.
Contract Variation,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,No silent rewrite of contract.
Contract Variation,Procurement Officer,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Narrative/support.
Corporate Strategic Plan,Finance/Budget Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Operational reference use only.
Corporate Strategic Plan,Head of Procurement,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Corporate Strategic Plan,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Corporate Strategic Plan,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Corporate Strategic Plan,Planning Authority,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,No broad transactional edits.
Corporate Strategic Plan,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Operational reference use only.
Defect NCR,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Supplier cannot edit internal defect finding.
Defect NCR,Contract Manager,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Observations and rectification narrative.
Defect NCR,Contract Manager,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive/escalation note.
Defect NCR,Inspection & Acceptance Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Supplier cannot edit internal defect finding.
Defect NCR,Inspection & Acceptance Officer,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Observations and rectification narrative.
Defect NCR,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.; Read defect record.
Defects Liability Review,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Post-completion review.
Defects Liability Review,Inspection & Acceptance Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Post-completion review.
Defects Liability Review,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Delivery Receipt,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted finance fields.; Read acceptance consequences.
Delivery Receipt,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive acceptance/exception note.
Delivery Receipt,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accepted qty / financial consequence.
Delivery Receipt,Contract Manager,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Delivery Receipt,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accepted qty / financial consequence.
Delivery Receipt,Inspection & Acceptance Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Controlled receipt evidence.
Delivery Receipt,Inspection & Acceptance Officer,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Observations and defect notes.
Delivery Receipt,Inspection & Acceptance Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Monetary/bank/control fields.; Accepted qty / financial consequence.
Delivery Receipt,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Delivery Receipt,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted finance fields.; Read acceptance consequences.
Delivery Receipt,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fraud/forensic metadata.
Evaluation Committee,Evaluation Committee Chair,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Membership and appointments.
Evaluation Committee,Evaluation Committee Chair,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Committee-confidential assignments/readout/consensus.
Evaluation Committee,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Evaluation Committee,Internal Auditor,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read committee-confidential fields.
Evaluation Committee,Oversight Viewer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Evaluation Committee,Tender Committee Secretary,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Membership and appointments.
Evaluation Committee,Tender Committee Secretary,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Committee-confidential assignments/readout/consensus.
Evaluation Consensus Record,Accounting Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Evaluation Consensus Record,Evaluation Committee Chair,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Consensus does not erase individual sheets.
