phase,module,document_type,fieldname,label,fieldtype,permlevel,sensitivity_class,recommended_read_roles,recommended_write_roles,mask_recommended,ignore_user_permissions,notes
Phase 2C,"Evaluation, Award & Challenge",Award Contract Handoff,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Award Contract Handoff,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Award Decision,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Award Decision,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Award Decision,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Award Decision,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Award Decision,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 2C,"Evaluation, Award & Challenge",Award Decision,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 2C,"Evaluation, Award & Challenge",Award PO Handoff,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Award PO Handoff,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Award PO Handoff,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Award PO Handoff,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Award Publication Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Award Publication Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Award Publication Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Award Publication Record,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 2C,"Evaluation, Award & Challenge",Award Recommendation,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Award Recommendation,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Award Recommendation,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Award Recommendation,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Award Recommendation,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 2C,"Evaluation, Award & Challenge",Award Recommendation,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Record,committee_confidential,Committee Confidential Detail,Long Text,3,Committee Confidential,"Committee roles, Internal Auditor",Committee roles,No,No,Sensitive committee-only data.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Register,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Register,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Register,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Register,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Bid Opening Register,committee_confidential,Committee Confidential Detail,Long Text,3,Committee Confidential,"Committee roles, Internal Auditor",Committee roles,No,No,Sensitive committee-only data.
Phase 2B,"Tender Setup, Submission & Opening",Bid Receipt Log,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2B,"Tender Setup, Submission & Opening",Bid Receipt Log,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Bid Receipt Log,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 1,Planning & Budgeting,Budget Control Rule,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Budget Control Rule,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Budget Control Rule,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Budget Control Rule,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,Budget Control Rule,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 1,Planning & Budgeting,Budget Control Rule,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 1,Planning & Budgeting,Budget Override Record,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 1,Planning & Budgeting,Budget Override Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Budget Override Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Budget Override Record,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 1,Planning & Budgeting,Budget Override Record,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 1,Planning & Budgeting,Budget Override Record,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 1,Planning & Budgeting,Budget Override Record,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 2C,"Evaluation, Award & Challenge",Challenge Review Case,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Challenge Review Case,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Challenge Review Case,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Challenge Review Case,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2C,"Evaluation, Award & Challenge",Challenge Review Case,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 2C,"Evaluation, Award & Challenge",Challenge Review Case,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
Phase 3,"Contract, Execution, Inspection & Financial Control",Closeout Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Closeout Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Closeout Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Closeout Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 3,"Contract, Execution, Inspection & Financial Control",Closeout Record,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,operational_note,Operational Note,Long Text,1,Internal Control,"Contract Manager, relevant operational readers, Internal Auditor",Contract Manager,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,contract_value_or_delta,Contract Value / Delta,Currency,2,Finance / Control,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor","Contract Manager, Finance/Budget Officer",No,No,Commercial sensitivity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Termination/settlement/authority note.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,lock_reference,Lock / Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Forensic evidence.
Phase 1,Planning & Budgeting,Corporate Strategic Plan,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Corporate Strategic Plan,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Corporate Strategic Plan,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Corporate Strategic Plan,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defect NCR,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defect NCR,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defect NCR,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defect NCR,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
