phase,module,document_type,template,primary_owner_roles,restricted_or_readonly_roles,special_security_note
Phase 2C,"Evaluation, Award & Challenge",Award Contract Handoff,E,"Procurement Officer, Contract Manager",Internal Auditor,No handoff until final award.
Phase 2C,"Evaluation, Award & Challenge",Award PO Handoff,E,Procurement Officer,Internal Auditor,Only where PO execution is appropriate.
Phase 2C,"Evaluation, Award & Challenge",Supplier Performance Baseline,E,"Procurement Officer, Contract Manager",Internal Auditor,Starting performance/risk baseline.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract,B,Contract Manager,"Procurement Officer, Internal Auditor, Oversight Viewer",Live commercial terms restricted.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Lot,B,Contract Manager,"Procurement Officer, Internal Auditor",Per-lot administration.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Milestone,B,Contract Manager,"Procurement Officer, Internal Auditor",Operational timeline controls.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Execution Log,B,Contract Manager,"Procurement Officer, Internal Auditor",Operational progress notes.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Progress Update,B,Contract Manager,"Procurement Officer, Internal Auditor",Project/service progress.
Phase 3,"Contract, Execution, Inspection & Financial Control",Delivery Receipt,D,Inspection & Acceptance Officer,"Contract Manager, Internal Auditor",Controlled receipt evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Inspection Report,D,Inspection & Acceptance Officer,"Contract Manager, Finance/Budget Officer, Internal Auditor",Acceptance/rejection evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,D,Inspection & Acceptance Officer,"Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Internal Auditor",Payment prerequisite.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defect NCR,E,"Inspection & Acceptance Officer, Contract Manager",Internal Auditor,Supplier cannot edit internal defect finding.
Phase 3,"Contract, Execution, Inspection & Financial Control",Rectification Action,B,Contract Manager,"Inspection & Acceptance Officer, Internal Auditor",Tracks remediation.
Phase 3,"Contract, Execution, Inspection & Financial Control",Payment Certificate,D,"Accounts Payable Officer, Finance/Budget Officer","Accounting Officer, Internal Auditor",Most fields PL2+.
Phase 3,"Contract, Execution, Inspection & Financial Control",Invoice Control Record,D,Accounts Payable Officer,"Finance/Budget Officer, Accounting Officer, Internal Auditor",Links invoices to acceptance.
Phase 3,"Contract, Execution, Inspection & Financial Control",Retention Register,D,"Accounts Payable Officer, Finance/Budget Officer","Accounting Officer, Internal Auditor",Financial control ledger.
Phase 3,"Contract, Execution, Inspection & Financial Control",Claim Dispute Record,E,"Contract Manager, Accounting Officer","Internal Auditor, Oversight Viewer",Legal/settlement sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Variation,B/E,"Contract Manager, Procurement Officer","Accounting Officer, Internal Auditor",No silent rewrite of contract value/scope.
Phase 3,"Contract, Execution, Inspection & Financial Control",Contract Amendment,B/E,"Contract Manager, Procurement Officer","Accounting Officer, Internal Auditor",Formal amendment evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,E,"Contract Manager, Accounting Officer","Internal Auditor, Oversight Viewer",Executive/forensic notes restricted.
Phase 3,"Contract, Execution, Inspection & Financial Control",Closeout Record,E,Contract Manager,"Internal Auditor, Oversight Viewer",Immutable closeout evidence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Defects Liability Review,E,"Contract Manager, Inspection & Acceptance Officer",Internal Auditor,Post-completion review.
Phase 3,"Contract, Execution, Inspection & Financial Control",Final Performance Review,E,Contract Manager,"Internal Auditor, Oversight Viewer",Final supplier/contract outcome.
